Dnr,ProjektTitelSv,SammanfattningSv,Formas1,Formas2,Kateg1,Kateg2,Kateg3
2016-00031,Framtida forskning om hållbar förpackningsutveckling,"Denna ansökan avser bidrag till en internationell workshop om den framtida forskningsagendan för hållbar förpackningsutveckling. Ett tiotal ledande akademiska forskare möts under tre dagar för att diskutera olika perspektiv på hållbar förpackningsutveckling, särskilt när det gäller indirekta miljöaspekter som t ex livsmedelssvinn. Internationella förpackningsföretag, varumärkesägare och förpackningsorganisationer kommer att delta i strukturerade workshops under en halvdag för att ge sin syn på vilka frågor som bör lyftas fram.Hittills har miljödebatten kring förpackningar handlat om de direkta miljöeffekterna. Det har under en 20-årsperiod pågått en process för att minska förpackningsmaterial, att införa förnybara material och att öka återvinningen. De indirekta effekterna av förpackningar har inte rönt lika stor uppmärksamhet vare sig hos forskare, bransch eller myndigheter. Detta trots att dessa miljöeffekter kan ofta vara flera magnituder högre än de direkta miljöeffekterna, särskilt när förpackningsattribut påverkar produktavfall. Detta gäller särskilt för livsmedelsförpackningar eftersom en betydande del av den starkt miljöpåverkande livsmedelsproduktionen kasseras. En minskning av livsmedelssvinnet skulle bidra till att nå många miljömål. Vi vet idag att a) det oftast lönar sig miljömässigt att investera i förpackningar om livsmedelssvinnet kan minskas b) det finns många identifierade förpackningsegenskaper som de facto påverkar svinnet. Dock är kunskapen rudimentär om de kvantitativa sambanden mellan förpackningsegenskaper och livsmedelssvinn för olika produkter. Kunskapen om varför produkter går till spillo på grund av förpackningsegenskaper och de omständigheter under vilka avfall uppstår behöver utvecklas för att kunna bli praktiskt tillämpbar,. Samspelet mellan produkten, förpackningsegenskaper och människors beteende är komplext. Fysiska attribut samt attityder och ekonomiska incitament spelar alla roll och skiljer sig avsevärt mellan olika socioekonomiska grupper och kulturer. Därför representerar de inbjudna forskarna flera discipliner för att ge olika ämnesmässiga och kulturella perspektiv, med målet att hitta möjligheter till nya internationella tvärvetenskapliga samarbeten. Specifikt så ansöker vi här för medel till forskarnas kostnader för inbjudna forskares resor.",12,,NULL,(tom),(tom)
2016-00036,"Scanmet V, 5th International Conference on Process Development in Iron and Steelmaking","SCANMET är en internationell konferens med syfte att förmedla högkvalitativ forskning inom processutveckling för järn- och stålindustrin. Viktigt är också att skapa en mötesplats där forskare från industri, akademi och institut kan knyta kontaker och sprida sin forskning. Stålindustrins utmaningar, i form av ökat energi- och resursutnyttjande och minskad miljöbelastning, är en central del av konferensen. Av 19 sessioner är åtta direkt associerade till energi-, koldioxid- och processintegrationsfrågor inom metallurgisk industri. SCANMET V inkluderar även 2nd International Process Integration Forum for the Steel Industry. Konferensen, den femte i ordningen (sedan 1999) arrangeras av Swerea MEFOS och hålls i Luleå. Abstracts och föredrag granskas professionellt av meriterade forskare från industri och akademi. Detta har gett SCANMET ett mycket gott rykte om att vara en konferens av hög kvalitet, och konferensen är internationellt uppmärksammad. SCANMET är den perfekta mötesplatsen för dem som önskar utöka kunskaperna inom metallurgiska tekniker, med tonvikten på hållbar industri. SCANMET har tidigare haft över 350 deltagare från hela världen. ",9,12,NULL,(tom),(tom)
2016-00039,STEEP STREAMS: Effekter av snabba översvämningar och slamströmmar i ett förändrat klimat,-,15,13,NULL,(tom),(tom)
2016-00042,URBANA ÖVERSVÄMNINGSPROGNOSER PÅ OLIKA SKALOR,-,13,6,NULL,(tom),(tom)
2016-00046,Innovationer för extrema väderhändelser,-,13,,NULL,(tom),(tom)
2016-00047,Nordic environmental chemistry conference 2016,"Den nordiska miljökemikonferensen (NECC) har en lång historia av att samla miljöforskare runt kemirelaterade forskningsämnen. Konferensen har bytt format flertalet gånger, från att först vända sig till en svensk-norsk publik och att enbart behandla organiska miljöföroreningar till dagens tvärvetenskapliga konferens med deltagare från alla de nordiska länderna och med internationella inbjudna forskare. Konferensen omfattar miljökemiforskning med särskilt fokus på den nordiska miljön. Miljökemi är studier av kemiska processer som sker i miljön och deras påverkan på djurlivet och människors hälsa. Miljökemi är ett tvärvetenskapligt forskningsområde och NECC erbjuder ett forum där olika discipliner kan mötas, interagera och utvecklas. Konferensen som hålls vartannat år kommer i år att hållas i Sverige, och anordnas av örebro universitet i samarbete med Umeå universitet och avdelningen för miljökemi, Svenska Kemistsamfundet.NECC kommer att hållas på Loka Brunn mellan 20 och 22 juni. Loka Brunn en modern konferensanläggning med en intressant historia. Hela anläggningen kommer att användas för konferensen och med sitt lugna och natursköna läge är det en perfekt plats för nätverkande och umgänge. Förhoppningen är att locka cirka 100 deltagare från de nordiska länderna med en hög procentdel doktorander. Organisationskommittén består av docent Anna Kärrman, örebro universitet, docent Patrik Andersson, Umeå universitet och professor Bert van Bavel, örebro universitet/Norska institutet för vattenforskning (NIVA). Dessutom är personal från avdelningen för miljökemi, Svenska Kemistsamfundet, och från örebro universitet involverade i organisationen och genomförandet.",12,,NULL,(tom),(tom)
2016-00049,"Potentialen hos innovativ teknik att ge ökad hållbarhet för avloppsreningsverk, ""Pioneer_STP""",-,6,,NULL,(tom),(tom)
2016-00050,Sustainable City Development– Local implementation of UN SDG,"Ansökan Konferenser och Workshop Malmö stad kommer att anordna konferensen Sustainable City Development– Local implementation of UN SDG den 20 november till den 2 december 2016. Konferensen vänder sig till deltagare från Sverige, Norden och Europa och målsättningen är att attrahera totalt ca 350 deltagare. Malmö har tidigare anordnat två Sustainable City Development konferenser, 2005 och 2007. Konferenserna attraherade 300 respektive 450 deltagare från akademin, den offentliga sektorn samt privata aktörer. Konferensen kommer också att vara en del av den internationella konferensserien om hållbart samhällsbyggande (International Sustainable Built Environment Conference Serie) och kommer att rapportera till den globala huvudkonferensen i Hong Kong i juni 2017. Konferensen är ett viktigt bidrag till Sveriges och Europas arbete inom Agenda 2030. Med denna ansökan söker vi om bidrag för resor och logi för den vetenskapliga kommittén samt för key-note speakers.",11,,NULL,(tom),(tom)
2016-00133,Observation av syresättning och kolonisering av bottnar i egentliga Östersjön efter djupvatteninflödet i december 2014,"Ansökan gäller deltagande i en expedition till östra Gotlandsbassängen i april 2016 vilken leds av Professor Per Hall. Syftet med expeditionen är att studera biogeokemiska effekter som orsakas av det stora inflödet av nytt djupvatten till egentliga östersjön vilket ägde rum i december 2014. Vi deltog i en expedition i juli 2015 till samma område som den nu planerade expeditionen. Vårt bidrag till den expeditionen var observationer med en sedimentprofilkamera (SPI). Våra observationer gjordes längs en djupgradient med start vid Gotlands östkust. Vi fann att sediment som var i kontakt med syresatt ovanförliggande vatten hade oxiderats men vi såg inga tecken på kolonisering av de nyligen syresatta sedimenten. Våra observationer publicerades nyligen (Rosenberg et al. 2016). Syftet med deltagandet i expeditionen i april 2016 är att upprepa mätprogrammet från expeditionen i juli 2015 för att studera förändringar sedan dess. Våra observationer utgör ett viktigt komplement till övriga observationer som görs under expeditionen och det görs inga med våra överlappande observationer. Studierna av effekter av naturlig oxidation som utförs på den expedition i vilken vi avser att delta, är mycket viktiga bl.a. för att minska utrymmet för spekulation över vad som kan hända vid oxidation av syrefria sediment i östersjön.",14,,NULL,(tom),(tom)
2016-00185,Verktygslåda för värdering av ekosystemtjänster av stadens grönska,"Stadens grönska har stor betydelse för ett hälso- och miljömässigt hållbart stadsliv. Grönskan levererar tjänster som är nödvändiga för människornas välbefinnande och välfärd. Exempel på sådana ekosystemtjänster är att reglera det lokala klimat, pollinera växter, rena luften och ge skydd mot översvämningar. Dessutom bidrar grönskan till ökad livskvalitet genom möjlighet till rekreation, estetiska och andliga upplevelser. Biologisk mångfald är en förutsättning för ekosystemens möjlighet att leverera dessa tjänster.Trots att ekosystemtjänsterna är grundläggande för vår välfärd tar vi dem ofta för givna. Flertalet ekosystemtjänster är svåra att värdera i pengar. Fler och fler flyttar till städerna och i takt med att trycket på förtätning av städerna ökar får grönområdena allt oftare stryka på foten. Det finns därför ett stort behov att synliggöra grönskans värde och att integrera grönskan mer effektivt i den fysiska planeringen och riskhanteringen. Inom det formasfinansierade forskningsprojektet ”Värdering av ekosystemtjänster av urban grönska” (grant 2012-3411-22602-60, projekttid 2013-2016) har ett ramverk arbetats fram för identifiering och en samlad värdering av den urban grönskans ekosystemtjänster.Målet med det här kommunikationsprojektet är att utveckla och sprida en självinstruerande och användarvänlig verktygslåda för tjänstemän, planerare och andra som i sitt dagliga arbete ställs inför att värdera och prioritera mellan olika grönområden i relation till andra samhällstjänster. Denna verktygslåda visar ett konkret arbetssätt som kompletterar och kan användas tillsammans med befintliga mer övergripande guider.Verktygslådan kommer att bestå av ett antal dokument med mallar (verktyg) som steg för steg leder genom processen från inventering till värdering av stadens grönska. Som komplement till verktygen kommer vi att skriva en manual/guidebok. Dessutom kommer sju olika typer av grönområden utförligt beskrivas som praktiska exempel. Verktygslådan kommer att finnas kostnadsfritt tillgänglig via internet . En broschyr/folder kommer att tas fram och fungera som introduktion och intresseväckare för värderingsverktyget. Våren 2017 kommer en workshop ordnas där verktygslådan presenteras.",11,,NULL,(tom),(tom)
2016-00187,Forskning om natur för alla,"Med det här projektet vill vi underlätta för svenska forskare inom natur- och miljörelaterade ämnen att nå ut med och förklara sin forskning för en bred allmänhet. Det gör vi genom intervjuer som resulterar i artiklar i Natursidan.se:s etablerade kanaler med ungefär 35 000 läsare varje månad, över 11 000 följare på Facebook och över 2100 följare på Twitter. Idén är att genom intervjuer, reportage och sammanfattningar lyfta och upplysa om svensk forskning inom djur, natur och miljö. Genom att använda vår unika kanal för spridning av populärvetenskap har projektet en möjlighet att nå en bred publik som potentiellt inte nås av traditionell populärvetenskap. Dessutom kommer artiklarna vara skriva på ett sätt som gör att så många som möjligt kan ta till sig innehållet.I projektet kommer vi ta del av forskning från flera universitet för att kunna visa ett brett spektrum av intressanta ämnen; allt från tillståndet i östersjön och havsfåglars populationsutveckling till nya rön inom etologi och om hur djurs beteende påverkas av mänsklig närvaro. Vi kommer arbeta nära forskarna, samtidigt som vi behåller fokus på en bred målgrupp och hur man kan förklara forskningen och göra den intressant för en bred målgrupp. Målet med projektet är att sprida kunskap och medvetenhet om naturen, samt att underlätta för intressant svensk forskning om natur och miljö att nå en stor målgrupp genom den stora och väletablerade plattform som Natursidan.se erbjuder.",4,,NULL,(tom),(tom)
